ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-03-26,388.57130221208206,361.08508530165795,387.9378846836513,388.57130221208206,388.57130221208206,-13.598827264319029,-13.598827264319029,-13.598827264319029,-9.624268009140106,-9.624268009140106,-9.624268009140106,-3.9745592551789217,-3.9745592551789217,-3.9745592551789217,0.0,0.0,0.0,374.97247494776303
2021-03-29,389.5518380519528,363.8540859002799,390.61840532513787,389.5518380519528,389.5518380519528,-11.76400044069342,-11.76400044069342,-11.76400044069342,-9.579607825592065,-9.579607825592065,-9.579607825592065,-2.184392615101354,-2.184392615101354,-2.184392615101354,0.0,0.0,0.0,377.7878376112594
2021-03-30,389.87868333190977,365.03989017680357,391.77470828167117,389.87868333190977,389.87868333190977,-11.35812378842766,-11.35812378842766,-11.35812378842766,-9.790645768853988,-9.790645768853988,-9.790645768853988,-1.5674780195736733,-1.5674780195736733,-1.5674780195736733,0.0,0.0,0.0,378.52055954348214
2021-03-31,390.20552861186667,366.0940258253496,392.6963328408426,390.20552861186667,390.20552861186667,-10.760998569195701,-10.760998569195701,-10.760998569195701,-9.803720644480826,-9.803720644480826,-9.803720644480826,-0.9572779247148768,-0.9572779247148768,-0.9572779247148768,0.0,0.0,0.0,379.444530042671
2021-04-01,390.5323738918237,367.7233685219483,394.60540683395175,390.5323738918237,390.5323738918237,-10.055728868911386,-10.055728868911386,-10.055728868911386,-9.692146980014773,-9.692146980014773,-9.692146980014773,-0.36358188889661314,-0.36358188889661314,-0.36358188889661314,0.0,0.0,0.0,380.4766450229123
2021-04-05,391.7094994197239,371.1250941738145,397.8454789207408,391.7094994197239,391.7094994197239,-7.911242291104616,-7.911242291104616,-7.911242291104616,-9.57960782564037,-9.57960782564037,-9.57960782564037,1.6683655345357533,1.6683655345357533,1.6683655345357533,0.0,0.0,0.0,383.7982571286193
2021-04-06,392.00378080169907,370.49031552591816,397.40303804401645,392.00378080169907,392.00378080169907,-7.738055028374299,-7.738055028374299,-7.738055028374299,-9.79064576885814,-9.79064576885814,-9.79064576885814,2.05259074048384,2.05259074048384,2.05259074048384,0.0,0.0,0.0,384.2657257733248
2021-04-07,392.2980621836741,370.87507243107564,397.29302639344155,392.2980621836741,392.2980621836741,-7.428449281763422,-7.428449281763422,-7.428449281763422,-9.803720644480816,-9.803720644480816,-9.803720644480816,2.375271362717393,2.375271362717393,2.375271362717393,0.0,0.0,0.0,384.86961290191067
2021-04-08,392.5923435656491,373.01183544609654,400.52736990283717,392.5923435656491,392.5923435656491,-7.059936256899371,-7.059936256899371,-7.059936256899371,-9.692146979988838,-9.692146979988838,-9.692146979988838,2.6322107230894662,2.6322107230894662,2.6322107230894662,0.0,0.0,0.0,385.5324073087497
2021-04-09,392.88662494762417,372.27054651117425,399.96674100084874,392.88662494762417,392.88662494762417,-6.803929590625261,-6.803929590625261,-6.803929590625261,-9.62426800921697,-9.62426800921697,-9.62426800921697,2.820338418591707,2.820338418591707,2.820338418591707,0.0,0.0,0.0,386.0826953569989
2021-04-12,393.76946909354933,373.4747517189077,400.7695772001745,393.76946909354933,393.76946909354933,-6.621262802021331,-6.621262802021331,-6.621262802021331,-9.579607825639664,-9.579607825639664,-9.579607825639664,2.9583450236183344,2.9583450236183344,2.9583450236183344,0.0,0.0,0.0,387.148206291528
2021-04-13,394.0637504755244,373.1205514957441,401.0860030222387,394.0637504755244,394.0637504755244,-6.927282164167618,-6.927282164167618,-6.927282164167618,-9.790645768883962,-9.790645768883962,-9.790645768883962,2.863363604716344,2.863363604716344,2.863363604716344,0.0,0.0,0.0,387.1364683113568
2021-04-14,394.35803185749944,374.35876152689946,400.26050802355525,394.35803185749944,394.35803185749944,-7.102570401800665,-7.102570401800665,-7.102570401800665,-9.8037206444808,-9.8037206444808,-9.8037206444808,2.7011502426801344,2.7011502426801344,2.7011502426801344,0.0,0.0,0.0,387.25546145569876
2021-04-15,394.6523132394746,373.98247945859663,399.89617888614515,394.6523132394746,394.6523132394746,-7.217000776798407,-7.217000776798407,-7.217000776798407,-9.692146980011714,-9.692146980011714,-9.692146980011714,2.475146203213309,2.475146203213309,2.475146203213309,0.0,0.0,0.0,387.4353124626762
2021-04-16,394.94659462144966,374.2476130532515,400.9378338703701,394.94659462144966,394.94659462144966,-7.434598158205619,-7.434598158205619,-7.434598158205619,-9.624268009168995,-9.624268009168995,-9.624268009168995,2.1896698509633756,2.1896698509633756,2.1896698509633756,0.0,0.0,0.0,387.51199646324403
2021-04-19,395.8294387673749,373.31263324040975,399.19960282023754,395.8294387673749,395.8294387673749,-8.548961870533432,-8.548961870533432,-8.548961870533432,-9.579607825638965,-9.579607825638965,-9.579607825638965,1.0306459551055325,1.0306459551055325,1.0306459551055325,0.0,0.0,0.0,387.28047689684144
2021-04-20,396.12372014934994,372.9251450762685,400.67511334491445,396.12372014934994,396.12372014934994,-9.22621522382613,-9.22621522382613,-9.22621522382613,-9.790645768888115,-9.790645768888115,-9.790645768888115,0.5644305450619858,0.5644305450619858,0.5644305450619858,0.0,0.0,0.0,386.8975049255238
2021-04-21,396.418001531325,373.21579487855286,399.88444100747716,396.418001531325,396.418001531325,-9.733900934850093,-9.733900934850093,-9.733900934850093,-9.803720644480787,-9.803720644480787,-9.803720644480787,0.06981970963069281,0.06981970963069281,0.06981970963069281,0.0,0.0,0.0,386.6841005964749
2021-04-22,396.71228291330004,373.1818231899599,399.9876821179033,396.71228291330004,396.71228291330004,-10.138031357555207,-10.138031357555207,-10.138031357555207,-9.692146980007799,-9.692146980007799,-9.692146980007799,-0.4458843775474082,-0.4458843775474082,-0.4458843775474082,0.0,0.0,0.0,386.5742515557448
2021-04-23,397.0065642952751,372.42440087124004,398.8300758856107,397.0065642952751,397.0065642952751,-10.599560997591148,-10.599560997591148,-10.599560997591148,-9.624268009169622,-9.624268009169622,-9.624268009169622,-0.9752929884215245,-0.9752929884215245,-0.9752929884215245,0.0,0.0,0.0,386.40700329768396
2021-04-26,397.88940844120026,372.4013043144545,399.52821207921636,397.88940844120026,397.88940844120026,-12.152492061111317,-12.152492061111317,-12.152492061111317,-9.579607825687264,-9.579607825687264,-9.579607825687264,-2.5728842354240546,-2.5728842354240546,-2.5728842354240546,0.0,0.0,0.0,385.7369163800889
2021-04-27,398.1836898231753,371.7093359912829,398.33592069736767,398.1836898231753,398.1836898231753,-12.875946835711023,-12.875946835711023,-12.875946835711023,-9.790645768864893,-9.790645768864893,-9.790645768864893,-3.085301066846129,-3.085301066846129,-3.085301066846129,0.0,0.0,0.0,385.3077429874643
2021-04-28,398.4779712051504,371.02294842446355,397.4963103661473,398.4779712051504,398.4779712051504,-13.38060483055345,-13.38060483055345,-13.38060483055345,-9.803720644480615,-9.803720644480615,-9.803720644480615,-3.5768841860728355,-3.5768841860728355,-3.5768841860728355,0.0,0.0,0.0,385.09736637459696
2021-04-29,398.7722525871255,370.67283669368896,399.19442347787907,398.7722525871255,398.7722525871255,-13.733980216201214,-13.733980216201214,-13.733980216201214,-9.692146979981858,-9.692146979981858,-9.692146979981858,-4.041833236219356,-4.041833236219356,-4.041833236219356,0.0,0.0,0.0,385.0382723709243
2021-04-30,399.06653396910053,371.3634352189071,398.0118016028531,399.06653396910053,399.06653396910053,-14.099147401839264,-14.099147401839264,-14.099147401839264,-9.624268009170253,-9.624268009170253,-9.624268009170253,-4.4748793926690125,-4.4748793926690125,-4.4748793926690125,0.0,0.0,0.0,384.96738656726126
2021-05-03,399.94937811502575,370.29999984453235,398.3275440985789,399.94937811502575,399.94937811502575,-15.118422651038964,-15.118422651038964,-15.118422651038964,-9.57960782568656,-9.57960782568656,-9.57960782568656,-5.538814825352403,-5.538814825352403,-5.538814825352403,0.0,0.0,0.0,384.8309554639868
2021-05-04,400.2436594970008,371.46231054684483,397.656496524601,400.2436594970008,400.2436594970008,-15.59428599759113,-15.59428599759113,-15.59428599759113,-9.790645768869044,-9.790645768869044,-9.790645768869044,-5.803640228722086,-5.803640228722086,-5.803640228722086,0.0,0.0,0.0,384.64937349940965
2021-05-05,400.53794087897586,371.8908762152512,396.94161436967835,400.53794087897586,400.53794087897586,-15.823211930855981,-15.823211930855981,-15.823211930855981,-9.803720644481036,-9.803720644481036,-9.803720644481036,-6.019491286374944,-6.019491286374944,-6.019491286374944,0.0,0.0,0.0,384.7147289481199
2021-05-06,400.8322222609509,371.1744416086934,398.7162974873539,400.8322222609509,400.8322222609509,-15.877070775843757,-15.877070775843757,-15.877070775843757,-9.692146979977942,-9.692146979977942,-9.692146979977942,-6.184923795865815,-6.184923795865815,-6.184923795865815,0.0,0.0,0.0,384.95515148510714
2021-05-07,401.12650364292597,371.7681974596691,398.81220759392477,401.12650364292597,401.12650364292597,-15.92341382480801,-15.92341382480801,-15.92341382480801,-9.624268009122279,-9.624268009122279,-9.624268009122279,-6.299145815685731,-6.299145815685731,-6.299145815685731,0.0,0.0,0.0,385.203089818118
2021-05-10,402.00934778885113,372.06847683025285,399.35599743320785,402.00934778885113,402.00934778885113,-15.915612920860454,-15.915612920860454,-15.915612920860454,-9.579607825610008,-9.579607825610008,-9.579607825610008,-6.336005095250445,-6.336005095250445,-6.336005095250445,0.0,0.0,0.0,386.0937348679907
2021-05-11,402.30362917082624,373.32408041731026,399.65074614644726,402.30362917082624,402.30362917082624,-16.040423363903574,-16.040423363903574,-16.040423363903574,-9.790645768873194,-9.790645768873194,-9.790645768873194,-6.249777595030382,-6.249777595030382,-6.249777595030382,0.0,0.0,0.0,386.26320580692266
2021-05-12,402.5979105528013,372.67426734086547,400.17577610089273,402.5979105528013,402.5979105528013,-15.921077044738642,-15.921077044738642,-15.921077044738642,-9.80372064448086,-9.80372064448086,-9.80372064448086,-6.117356400257782,-6.117356400257782,-6.117356400257782,0.0,0.0,0.0,386.67683350806266
2021-05-13,402.89219193477635,372.86235664062775,399.62789554508765,402.89219193477635,402.89219193477635,-15.633458546930358,-15.633458546930358,-15.633458546930358,-9.692146979987424,-9.692146979987424,-9.692146979987424,-5.9413115669429315,-5.9413115669429315,-5.9413115669429315,0.0,0.0,0.0,387.258733387846
2021-05-14,403.1864733167514,375.10920049306696,402.61550702041256,403.1864733167514,403.1864733167514,-15.348911298527364,-15.348911298527364,-15.348911298527364,-9.624268009122908,-9.624268009122908,-9.624268009122908,-5.724643289404453,-5.724643289404453,-5.724643289404453,0.0,0.0,0.0,387.83756201822405
2021-05-17,404.0693174626766,376.92009650525233,403.6295129536947,404.0693174626766,404.0693174626766,-14.446025526611777,-14.446025526611777,-14.446025526611777,-9.579607825609303,-9.579607825609303,-9.579607825609303,-4.866417701002474,-4.866417701002474,-4.866417701002474,0.0,0.0,0.0,389.62329193606485
2021-05-18,404.3635988446517,377.0304550625653,402.5795853821562,404.3635988446517,404.3635988446517,-14.314937280737956,-14.314937280737956,-14.314937280737956,-9.79064576884997,-9.79064576884997,-9.79064576884997,-4.524291511887985,-4.524291511887985,-4.524291511887985,0.0,0.0,0.0,390.0486615639137
2021-05-19,404.65788022662673,377.4616745006914,403.7894713579065,404.65788022662673,404.65788022662673,-13.965130078023625,-13.965130078023625,-13.965130078023625,-9.80372064448101,-9.80372064448101,-9.80372064448101,-4.161409433542617,-4.161409433542617,-4.161409433542617,0.0,0.0,0.0,390.6927501486031
2021-05-20,404.9521616086018,379.1846304480499,405.61998116411735,404.9521616086018,404.9521616086018,-13.474533064991078,-13.474533064991078,-13.474533064991078,-9.692146979996906,-9.692146979996906,-9.692146979996906,-3.7823860849941697,-3.7823860849941697,-3.7823860849941697,0.0,0.0,0.0,391.4776285436107
2021-05-21,405.24644299057684,379.58035406428905,405.9614336177205,405.24644299057684,405.24644299057684,-13.01620315876889,-13.01620315876889,-13.01620315876889,-9.624268009199142,-9.624268009199142,-9.624268009199142,-3.391935149569748,-3.391935149569748,-3.391935149569748,0.0,0.0,0.0,392.2302398318079
2021-05-24,406.1292871365021,380.06158249980024,406.96198987909645,406.1292871365021,406.1292871365021,-11.779179371701137,-11.779179371701137,-11.779179371701137,-9.579607825633104,-9.579607825633104,-9.579607825633104,-2.199571546068032,-2.199571546068032,-2.199571546068032,0.0,0.0,0.0,394.35010776480095
2021-05-25,406.42356851847705,381.7256500934674,408.31703541656975,406.42356851847705,406.42356851847705,-11.60138771460739,-11.60138771460739,-11.60138771460739,-9.790645768854121,-9.790645768854121,-9.790645768854121,-1.8107419457532679,-1.8107419457532679,-1.8107419457532679,0.0,0.0,0.0,394.8221808038697
2021-05-26,406.7178499004522,383.15256071794585,408.9297765507208,406.7178499004522,406.7178499004522,-11.237464454343689,-11.237464454343689,-11.237464454343689,-9.80372064448111,-9.80372064448111,-9.80372064448111,-1.43374380986258,-1.43374380986258,-1.43374380986258,0.0,0.0,0.0,395.4803854461085
2021-05-27,407.0121312824273,382.8631625545621,409.22763903426005,407.0121312824273,407.0121312824273,-10.764947229381097,-10.764947229381097,-10.764947229381097,-9.692146980006385,-9.692146980006385,-9.692146980006385,-1.0728002493747122,-1.0728002493747122,-1.0728002493747122,0.0,0.0,0.0,396.24718405304617
2021-05-28,407.30641266440233,383.69836212550894,411.1160201642181,407.30641266440233,407.30641266440233,-10.356136248567578,-10.356136248567578,-10.356136248567578,-9.624268009199772,-9.624268009199772,-9.624268009199772,-0.7318682393678065,-0.7318682393678065,-0.7318682393678065,0.0,0.0,0.0,396.95027641583476
2021-06-01,408.3354422730274,384.2161321828628,412.53105783947734,408.3354422730274,408.3354422730274,-9.425859995462059,-9.425859995462059,-9.425859995462059,-9.790645768866256,-9.790645768866256,-9.790645768866256,0.3647857734041979,0.3647857734041979,0.3647857734041979,0.0,0.0,0.0,398.90958227756533
2021-06-02,408.5926996751837,385.28129378804493,412.1939464093092,408.5926996751837,408.5926996751837,-9.244560062762522,-9.244560062762522,-9.244560062762522,-9.8037206444811,-9.8037206444811,-9.8037206444811,0.5591605817185752,0.5591605817185752,0.5591605817185752,0.0,0.0,0.0,399.3481396124212
2021-06-03,408.84995707734,385.35958415088254,413.25243573340305,408.84995707734,408.84995707734,-8.97400446727647,-8.97400446727647,-8.97400446727647,-9.69214698000247,-9.69214698000247,-9.69214698000247,0.7181425127259992,0.7181425127259992,0.7181425127259992,0.0,0.0,0.0,399.8759526100635
2021-06-04,409.1072144794963,386.76962458046404,413.4552253700601,409.1072144794963,409.1072144794963,-8.783307298464267,-8.783307298464267,-8.783307298464267,-9.624268009176099,-9.624268009176099,-9.624268009176099,0.8409607107118332,0.8409607107118332,0.8409607107118332,0.0,0.0,0.0,400.32390718103204
2021-06-07,409.8789866859651,387.9255707658174,413.98224968629694,409.8789866859651,409.8789866859651,-8.585830795748251,-8.585830795748251,-8.585830795748251,-9.5796078256807,-9.5796078256807,-9.5796078256807,0.9937770299324501,0.9937770299324501,0.9937770299324501,0.0,0.0,0.0,401.2931558902169
2021-06-08,410.1362440881214,388.24037913636755,414.50165763294336,410.1362440881214,410.1362440881214,-8.814268360995005,-8.814268360995005,-8.814268360995005,-9.790645768870409,-9.790645768870409,-9.790645768870409,0.9763774078754035,0.9763774078754035,0.9763774078754035,0.0,0.0,0.0,401.32197572712636
2021-06-09,410.3935014902777,387.95057046105177,414.69633244622906,410.3935014902777,410.3935014902777,-8.875601155909436,-8.875601155909436,-8.875601155909436,-9.803720644480922,-9.803720644480922,-9.803720644480922,0.9281194885714865,0.9281194885714865,0.9281194885714865,0.0,0.0,0.0,401.5179003343683
2021-06-10,410.65075889243394,388.1192604822664,414.7775585995146,410.65075889243394,410.65075889243394,-8.840265374771858,-8.840265374771858,-8.840265374771858,-9.692146980025347,-9.692146980025347,-9.692146980025347,0.8518816052534888,0.8518816052534888,0.8518816052534888,0.0,0.0,0.0,401.8104935176621
2021-06-11,410.9080162945903,388.51028324563765,414.8132120279217,410.9080162945903,410.9080162945903,-8.873173333358771,-8.873173333358771,-8.873173333358771,-9.624268009152427,-9.624268009152427,-9.624268009152427,0.7510946757936555,0.7510946757936555,0.7510946757936555,0.0,0.0,0.0,402.03484296123156
2021-06-14,411.67978850105914,389.31499361678897,415.8921164785614,411.67978850105914,411.67978850105914,-9.236588611620768,-9.236588611620768,-9.236588611620768,-9.579607825679997,-9.579607825679997,-9.579607825679997,0.3430192140592297,0.3430192140592297,0.3430192140592297,0.0,0.0,0.0,402.44319988943835
2021-06-15,411.9370459032154,390.1552563520322,415.72162334702614,411.9370459032154,411.9370459032154,-9.60304648980837,-9.60304648980837,-9.60304648980837,-9.790645768860871,-9.790645768860871,-9.790645768860871,0.18759927905250165,0.18759927905250165,0.18759927905250165,0.0,0.0,0.0,402.333999413407
2021-06-16,412.1943033053717,389.80455647131663,415.86647609919913,412.1943033053717,412.1943033053717,-9.772591535525036,-9.772591535525036,-9.772591535525036,-9.803720644480746,-9.803720644480746,-9.803720644480746,0.031129108955710676,0.031129108955710676,0.031129108955710676,0.0,0.0,0.0,402.4217117698467
2021-06-17,412.45156070752796,389.19788716110173,415.3464836100271,412.45156070752796,412.45156070752796,-9.813098822081693,-9.813098822081693,-9.813098822081693,-9.692146979986013,-9.692146979986013,-9.692146979986013,-0.12095184209567937,-0.12095184209567937,-0.12095184209567937,0.0,0.0,0.0,402.63846188544625
2021-06-18,412.7088181096843,389.7463890698434,416.4838655598292,412.7088181096843,412.7088181096843,-9.887440423471194,-9.887440423471194,-9.887440423471194,-9.624268009204357,-9.624268009204357,-9.624268009204357,-0.263172414266838,-0.263172414266838,-0.263172414266838,0.0,0.0,0.0,402.82137768621305
2021-06-21,413.4805903161531,389.7232658008795,416.6020333404675,413.4805903161531,413.4805903161531,-10.157278845169749,-10.157278845169749,-10.157278845169749,-9.5796078257283,-9.5796078257283,-9.5796078257283,-0.5776710194414477,-0.5776710194414477,-0.5776710194414477,0.0,0.0,0.0,403.32331147098336
2021-06-22,413.73784771830935,390.2702337225714,417.2222721846366,413.73784771830935,413.73784771830935,-10.419404713230564,-10.419404713230564,-10.419404713230564,-9.790645768886694,-9.790645768886694,-9.790645768886694,-0.6287589443438708,-0.6287589443438708,-0.6287589443438708,0.0,0.0,0.0,403.3184430050788
2021-06-23,413.99510512046567,389.41820430419415,416.10540025135424,413.99510512046567,413.99510512046567,-10.449532988700982,-10.449532988700982,-10.449532988700982,-9.803720644480897,-9.803720644480897,-9.803720644480897,-0.6458123442200847,-0.6458123442200847,-0.6458123442200847,0.0,0.0,0.0,403.5455721317647
2021-06-24,414.2523625226219,390.4995852094982,417.4553117907566,414.2523625226219,414.2523625226219,-10.317494780347339,-10.317494780347339,-10.317494780347339,-9.692146979995492,-9.692146979995492,-9.692146979995492,-0.6253478003518467,-0.6253478003518467,-0.6253478003518467,0.0,0.0,0.0,403.9348677422746
2021-06-25,414.5096199247782,391.72970960739445,417.8218164332207,414.5096199247782,414.5096199247782,-10.188814006482604,-10.188814006482604,-10.188814006482604,-9.62426800920499,-9.62426800920499,-9.62426800920499,-0.5645459972776159,-0.5645459972776159,-0.5645459972776159,0.0,0.0,0.0,404.32080591829555
2021-06-28,415.2813921312471,392.33727309994043,419.11446428738304,415.2813921312471,415.2813921312471,-9.702926108264103,-9.702926108264103,-9.702926108264103,-9.579607825627242,-9.579607825627242,-9.579607825627242,-0.12331828263685872,-0.12331828263685872,-0.12331828263685872,0.0,0.0,0.0,405.57846602298304
2021-06-29,415.5386495334034,393.02360148010706,419.01040392484686,415.5386495334034,415.5386495334034,-9.679157356843152,-9.679157356843152,-9.679157356843152,-9.790645768877157,-9.790645768877157,-9.790645768877157,0.11148841203400546,0.11148841203400546,0.11148841203400546,0.0,0.0,0.0,405.8594921765602
2021-06-30,415.7959069355597,392.10832112098603,418.86631699186523,415.7959069355597,415.7959069355597,-9.414999705499737,-9.414999705499737,-9.414999705499737,-9.803720644480721,-9.803720644480721,-9.803720644480721,0.38872093898098414,0.38872093898098414,0.38872093898098414,0.0,0.0,0.0,406.38090723005996
2021-07-01,416.05316433771594,394.13865765749165,420.6308076654635,416.05316433771594,416.05316433771594,-8.985940253758438,-8.985940253758438,-8.985940253758438,-9.692146979991575,-9.692146979991575,-9.692146979991575,0.7062067262331387,0.7062067262331387,0.7062067262331387,0.0,0.0,0.0,407.0672240839575
2021-07-02,416.3104217398722,394.7386677639668,420.36595255375875,416.3104217398722,416.3104217398722,-8.56333787906715,-8.56333787906715,-8.56333787906715,-9.624268009181314,-9.624268009181314,-9.624268009181314,1.0609301301141647,1.0609301301141647,1.0609301301141647,0.0,0.0,0.0,407.74708386080505
2021-07-06,417.33945134849733,396.36639858894495,422.4299269389043,417.33945134849733,417.33945134849733,-7.025166105315849,-7.025166105315849,-7.025166105315849,-9.79064576888131,-9.79064576888131,-9.79064576888131,2.765479663565459,2.765479663565459,2.765479663565459,0.0,0.0,0.0,410.3142852431815
2021-07-07,417.5967087506536,397.3588102005525,424.4496084636484,417.5967087506536,417.5967087506536,-6.567829255649557,-6.567829255649557,-6.567829255649557,-9.803720644480705,-9.803720644480705,-9.803720644480705,3.2358913888311487,3.2358913888311487,3.2358913888311487,0.0,0.0,0.0,411.02887949500405
2021-07-08,417.8539661528099,398.4621560107338,425.56129167967305,417.8539661528099,417.8539661528099,-5.9805872071883455,-5.9805872071883455,-5.9805872071883455,-9.692146979987662,-9.692146979987662,-9.692146979987662,3.7115597727993155,3.7115597727993155,3.7115597727993155,0.0,0.0,0.0,411.87337894562154
2021-07-09,418.11122355496616,399.01550467745056,426.33844996712645,418.11122355496616,418.11122355496616,-5.438462190002251,-5.438462190002251,-5.438462190002251,-9.624268009181947,-9.624268009181947,-9.624268009181947,4.185805819179696,4.185805819179696,4.185805819179696,0.0,0.0,0.0,412.6727613649639
2021-07-12,418.882995761435,401.6370365526944,427.5026352389233,418.882995761435,418.882995761435,-4.046107580779301,-4.046107580779301,-4.046107580779301,-9.579607825674843,-9.579607825674843,-9.579607825674843,5.533500244895541,5.533500244895541,5.533500244895541,0.0,0.0,0.0,414.8368881806557
2021-07-13,419.1402531635913,401.4035168446502,429.30279660138524,419.1402531635913,419.1402531635913,-3.853995952019091,-3.853995952019091,-3.853995952019091,-9.790645768871775,-9.790645768871775,-9.790645768871775,5.936649816852683,5.936649816852683,5.936649816852683,0.0,0.0,0.0,415.2862572115722
