Date,Close,High,Low,Open,Volume
,SPY,SPY,SPY,SPY,SPY
2020-09-29,312.5705261230469,314.8275510228178,311.86520404814166,314.0752189561037,51304000
2020-09-30,314.9404602050781,318.13791487859936,313.0501876591284,313.2476698252386,104081100
2020-10-01,316.9623718261719,318.5610847821689,315.0533010583778,317.5736452711011,88698700
2020-10-02,313.9530029296875,316.93417728231753,311.46087031923616,311.9404985818706,89431100
2020-10-05,319.5203857421875,319.70845445162604,315.9937745693195,316.0407845717703,45713100
2020-10-06,314.9780578613281,321.786787223268,314.46083309595923,319.6614072862933,90128900
2020-10-07,320.4607849121094,321.27895403446433,317.9498253679829,317.97803710669746,56999600
2020-10-08,323.3009033203125,323.366740283601,321.4952657678726,322.42631063537164,45242500
2020-10-09,326.1880187988281,326.6582336079083,324.34478478313156,324.9748565555037,59528600
2020-10-12,331.4355163574219,332.93079561346406,328.26627396886454,328.76470038754525,80388500
2020-10-13,329.2725830078125,331.47318457768927,328.29452829910156,331.29450067803157,73255500
2020-10-14,327.20367431640625,330.96539283684797,326.460755572356,329.85569276123,57727900
2020-10-15,326.7992858886719,327.2882989486371,322.6896131300133,323.2350496699886,60357700
2020-10-16,326.601806640625,329.85568504882997,326.42312271911106,328.1723080143938,89501900
2020-10-19,321.6363220214844,328.5202445680317,320.72410420307284,327.88075935708804,68425600
2020-10-20,322.92474365234375,326.2162474869043,322.2288348826344,322.99996539786537,60051900
2020-10-21,322.3134460449219,325.0783113554999,322.00308820618125,322.87768084329804,63575000
2020-10-22,324.0814208984375,324.67389612049624,320.35732783073917,322.5297178451993,55399300
2020-10-23,325.18170166015625,325.3791838133677,322.6895692994357,325.3227603410216,49143900
2020-10-26,319.1723937988281,322.5485323869964,315.6269560825658,321.74916154197103,91473000
2020-10-27,318.0721130371094,319.85892360783623,317.855803888688,319.520382714274,65994100
2020-10-28,307.20074462890625,318.1003205345294,306.70231807583235,312.3166840829194,127094300
2020-10-29,310.3228759765625,313.5391281649848,305.72416284622835,307.4357510889882,90597700
2020-10-30,307.08782958984375,310.05017651083233,303.38253539419026,308.7241675900868,120287300
2020-11-02,310.52984619140625,312.5611487460782,307.74615408386074,310.52984619140625,86068300
